percentage,city
16.5771,"sao paulo"
2.9984,brasilia
2.0910,"rio de janeiro"
1.4444,salvador
1.2306,goiânia
1.0638,"belo horizonte"
0.8969,fortaleza
0.8604,curitiba
0.7353,"porto alegre"
0.7248,"sao bernardo do campo"
0.7196,guarulhos
0.6779,recife
0.4693,osasco
0.4485,"campo grande"
0.4328,belem
0.4276,"nova iguaçu"
0.3963,teresina
0.3807,manaus
0.3754,"sao goncalo"
0.3702,campinas
0.3598,"feira de santana"
0.3546,"aparecida de goiania"
0.3494,natal
0.3337,"sao luis"
0.3233,"joão pessoa"
0.3181,"santo andre"
0.3181,contagem
0.3181,anapolis
0.3181,"duque de caxias"
0.2868,aracaju
0.2816,barueri
0.2816,londrina
0.2816,sorocaba
0.2764,betim
0.2712,"francisco morato"
0.2607,"mogi das cruzes"
0.2503,cuiaba
0.2451,"sao jose do rio preto"
0.2399,carapicuiba
0.2347,maceió
0.2347,"ribeirão preto"
0.2347,"jaboatao dos guararapes"
0.2347,"caxias do sul"
0.2242,"ribeirao das neves"
0.2242,"juiz de fora"
0.2242,"presidente prudente"
0.2242,niteroi
0.2242,blumenau
0.2190,bauru
0.2138,"franco da rocha"
0.2138,vitoria
0.2086,"belford roxo"
0.1929,"sao jose dos campos"
0.1929,suzano
0.1929,"vitoria da conquista"
0.1929,joinville
0.1929,"volta redonda"
0.1929,florianopolis
0.1877,gravatai
0.1877,"ferraz de vasconcelos"
0.1877,uberaba
0.1877,"angra dos reis"
0.1825,"ribeirão pires"
0.1825,"santa luzia"
0.1825,marica
0.1825,macae
0.1825,caucaia
0.1773,olinda
0.1721,"santana de parnaiba"
0.1721,"itapecerica da serra"
0.1721,"ponta grossa"
0.1669,diadema
0.1669,guaruja
0.1669,"campina grande"
0.1669,jacarei
0.1669,"governador valadares"
0.1617,taubate
0.1617,itaborai
0.1617,petropolis
0.1564,itaquaquecetuba
0.1564,maringa
0.1564,dourados
0.1564,"campos dos goytacazes"
0.1564,varginha
0.1512,cotia
0.1512,aracatuba
0.1512,"novo hamburgo"
0.1512,"vila velha"
0.1460,caieiras
0.1460,piracicaba
0.1460,marilia
0.1460,mage
0.1460,"juazeiro do norte"
0.1460,paulista
0.1408,mauá
0.1408,"praia grande"
0.1408,canoas
0.1408,"sao leopoldo"
0.1408,queimados
0.1408,"varzea grande"
0.1356,"taboao da serra"
0.1356,aruja
0.1356,santos
0.1356,pindamonhangaba
0.1356,sobral
0.1356,caruaru
0.1304,guaratinguetá
0.1304,rondonopolis
0.1304,luziania
0.1304,mossoro
0.1251,viamao
0.1251,"lauro de freitas"
0.1251,"barra mansa"
0.1251,pelotas
0.1199,palmas
0.1199,"passo fundo"
0.1199,"porto velho"
0.1199,petrolina
0.1199,"sao jose dos pinhais"
0.1199,ananindeua
0.1147,itapevi
0.1147,"sao vicente"
0.1147,cubatao
0.1147,maracanau
0.1147,lages
0.1147,guarapuava
0.1147,parnamirim
0.1147,teresopolis
0.1147,japeri
0.1147,resende
0.1147,crato
0.1147,serra
0.1095,jandira
0.1095,"sao joao de meriti"
0.1095,"santa maria"
0.1095,"cabo frio"
0.1043,caraguatatuba
0.1043,cascavel
0.1043,indaiatuba
0.1043,"foz do iguaçu"
0.1043,sabara
0.1043,"rio branco"
0.1043,araguaina
0.0991,cajamar
0.0991,poa
0.0991,"sao sebastiao"
0.0991,"braganca paulista"
0.0991,alvorada
0.0991,criciuma
0.0991,"rio grande"
0.0991,ibirite
0.0991,mesquita
0.0991,"boa vista"
0.0991,cariacica
0.0991,guarapari
0.0991,"santa cruz do sul"
0.0991,"cachoeiro de itapemirim"
0.0939,jundiaí
0.0939,gurupi
0.0939,imperatriz
0.0939,arapiraca
0.0939,itumbiara
0.0886,uberlandia
0.0886,"sao carlos"
0.0886,toledo
0.0886,parnaiba
0.0834,"são caetano do sul"
0.0834,"tres lagoas"
0.0834,cachoeirinha
0.0834,itajaí
0.0834,jau
0.0834,camaragibe
0.0834,itapetininga
0.0834,"sao mateus"
0.0834,"jaragua do sul"
0.0834,itaguaí
0.0834,"sao jose"
0.0782,atibaia
0.0782,americana
0.0782,"rio verde"
0.0782,sertaozinho
0.0782,maraba
0.0782,catanduva
0.0782,lajeado
0.0782,"sapucaia do sul"
0.0782,colombo
0.0782,botucatu
0.0782,ourinhos
0.0782,apucarana
0.0782,alagoinhas
0.0782,"nova friburgo"
0.0730,embu
0.0730,cacapava
0.0730,bebedouro
0.0730,camacari
0.0730,"nova lima"
0.0730,santarem
0.0730,itapeva
0.0730,catalão
0.0730,"tres rios"
0.0730,bagé
0.0678,cruzeiro
0.0678,itu
0.0678,arcoverde
0.0678,arapongas
0.0678,piraquara
0.0678,"aguas lindas de goias"
0.0678,"estância velha"
0.0678,corumba
0.0678,"cabo de santo agostinho"
0.0678,assis
0.0678,"teixeira de freitas"
0.0678,"senador canedo"
0.0678,"barra do pirai"
0.0678,trindade
0.0678,juazeiro
0.0678,"sao bento do sul"
0.0626,lorena
0.0626,chapeco
0.0626,sumaré
0.0626,jaguariuna
0.0626,franca
0.0626,araraquara
0.0626,umuarama
0.0626,"almirante tamandaré"
0.0626,jequie
0.0626,"telemaco borba"
0.0626,barreiras
0.0626,"são lourenço da mata"
0.0626,"abreu e lima"
0.0626,"pocos de caldas"
0.0626,linhares
0.0626,sapiranga
0.0626,erechim
0.0626,cianorte
0.0626,paranavai
0.0626,colatina
0.0574,"embu das artes"
0.0574,concordia
0.0574,"rio claro"
0.0574,itabuna
0.0574,pirassununga
