review_score,review_answer_timestamp,review_comment_title,review_comment_message
5,"2018-03-20 19:36:04",NULL,NULL
5,"2018-06-26 15:51:29",NULL,NULL
5,"2018-04-26 16:55:36","Entrega rápida!","A entrega foi super rápida e o pendente é lindo! Igual a foto mesmo! "
5,"2017-06-02 01:28:55",NULL,NULL
5,"2017-08-13 21:56:53",NULL,NULL
5,"2018-02-06 21:54:37",NULL,NULL
5,"2018-07-02 14:32:24","SUPER RECOMENDO","GOSTEI DA CAPINHA DE CELULAR, VEIO COMO EU ESPERAVA."
5,"2017-09-02 15:04:08",NULL,"otimo produto. prazo cumprido. sabor tambem muito bom! "
5,"2017-11-27 12:37:22",NULL,"O produto foi entregue muito antes do esperado. Ótima agilidade."
5,"2017-06-23 01:19:41",NULL,"Bom eu já sabia que era,mas é muito bonito.recomendo."
5,"2017-10-15 19:53:22",NULL,"Muito bom "
5,"2017-11-18 03:22:01",NULL,"Entrega antes do prazo satisfeito "
5,"2018-06-20 06:48:13",Bom,"Meu sait preferido "
5,"2017-08-30 14:03:31",NULL,NULL
5,"2018-06-16 21:15:24",NULL,NULL
5,"2017-08-06 01:47:13",NULL,NULL
5,"2018-01-19 02:51:32",NULL,NULL
5,"2018-06-14 02:24:36",NULL,NULL
5,"2018-04-17 01:11:12",NULL,NULL
5,"2017-06-07 06:00:21",NULL,"Muito satisfeita com o produto, entrega e a praticidade do site. "
5,"2018-05-25 19:57:16","ENTREGA DENTRO DO PRAZO","ENTREGA DENTRO DO PRAZO..RECOMENDO!"
5,"2018-05-17 00:25:19",NULL,"Muito feliz com minha compra. O pedido chegou 
em 2 dias. Recomendo"
5,"2018-04-28 04:28:01",NULL,NULL
5,"2017-09-28 01:54:04",NULL,"Chegou bem antes do prazo e o material de muito boa qualidade!"
5,"2018-03-16 12:18:48",NULL,"Linda , amei"
5,"2018-07-24 13:57:27",NULL,NULL
5,"2018-06-25 16:30:21",NULL,NULL
5,"2017-11-26 14:21:30",NULL,NULL
5,"2018-05-01 01:48:44","Recomendo ","Fiquei muito satisfeita."
5,"2017-07-16 18:33:50",NULL,"Recebi o relógio, antes do prazo e agradou bastante. Satisfação plena."
5,"2017-06-12 21:36:32",NULL,NULL
5,"2017-04-26 12:44:16",NULL,NULL
5,"2017-11-09 15:45:42",NULL,NULL
5,"2018-07-11 13:29:17",recomendo,"produto entregue no prazo e tem boa qualidade"
5,"2017-03-08 09:49:45",NULL,NULL
5,"2017-01-14 12:20:25",NULL,"O produto chegou com bastante antescedencia e fiquei muito feliz por isso. Obrigada"
5,"2018-06-18 01:58:20",NULL,NULL
5,"2017-03-13 21:56:20",NULL,"O produto chegou no prazo, todo embalado certinho. "
5,"2017-10-10 04:03:18",NULL,"Gostei demais. Bem em conta e foi entregue super rápido. Com certeza recomendo. "
5,"2018-01-06 22:46:11",NULL,"so tem demorado mais que o normal as estregas do site depois que comecaram a vender com parceiros, fora isso nd mais a falar, foi entregue no prazo, o produto de excelente qualidade"
5,"2017-08-22 21:52:17",NULL,NULL
5,"2018-05-21 17:47:15","super recomendado","muito bom "
5,"2017-11-30 02:07:38",NULL,"Ótimo produto,entrega rápida e super bem embalado.Super recomendo!!!"
5,"2018-04-02 03:16:46",NULL,"Satisfeita com o resultado. "
5,"2017-11-07 15:45:12",NULL,NULL
